
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_1", 11, 553, 8, 1, 0, 329, 134, 2391, 2398, 5, 3, 1, 61, 35, 0, 10, 371, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 18, 557, 12, 1, 1, 327, 136, 2391, 2397, 6, 3, 1, 62, 31, 1, 8, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 26, 557, 9, 0, 0, 332, 132, 2391, 2398, 5, 3, 1, 64, 33, 4, 6, 376, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 12, 555, 9, 0, 1, 333, 132, 2391, 2398, 5, 3, 1, 62, 35, 0, 10, 371, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 15, 557, 9, 0, 0, 334, 132, 2391, 2397, 5, 3, 1, 62, 35, 0, 10, 372, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 14, 559, 7, 0, 0, 330, 137, 2391, 2397, 7, 3, 1, 65, 34, 0, 10, 375, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 31, 762, 10, 1, 1, 467, 192, 2391, 2397, 5, 3, 1, 66, 25, 0, 13, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 4, 711, 7, 0, 1, 470, 193, 2391, 2398, 5, 3, 1, 23, 80, 0, 4, 370, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 23, 724, 7, 0, 1, 472, 193, 2391, 2398, 5, 3, 1, 32, 69, 0, 7, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 27, 725, 7, 0, 1, 467, 200, 2391, 2398, 5, 3, 0, 33, 69, 0, 6, 369, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 9, 725, 8, 0, 1, 471, 196, 2391, 2398, 4, 3, 1, 30, 69, 0, 7, 371, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 20, 711, 7, 0, 1, 472, 196, 2391, 2398, 5, 3, 1, 23, 84, 0, 1, 370, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
