
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u, expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"1_0_0_0", 19, 2995, 51, 6, 18, 2694, 141, 2561, 2542, 5, 3, 1, 122, 59, 37, 0, 15, 371, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 16, 2962, 46, 6, 18, 2703, 136, 2561, 2542, 4, 3, 1, 96, 38, 101, 0, 3, 374, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 21, 2960, 23, 3, 9, 2704, 146, 2561, 2542, 5, 3, 1, 93, 63, 109, 0, 1, 373, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 14, 2964, 23, 3, 9, 2717, 136, 2561, 2542, 4, 3, 0, 93, 63, 108, 0, 2, 374, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 2, 3004, 51, 6, 8, 2717, 136, 2561, 2542, 5, 3, 0, 124, 60, 37, 0, 12, 371, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 22, 3004, 48, 6, 9, 2720, 137, 2561, 2542, 4, 3, 1, 121, 60, 42, 0, 13, 371, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 1, 3011, 50, 6, 17, 2716, 136, 2561, 2542, 5, 3, 0, 123, 60, 37, 0, 13, 371, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 30, 3007, 47, 6, 14, 2719, 139, 2561, 2542, 4, 3, 1, 123, 59, 42, 0, 13, 373, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 27, 3012, 51, 7, 9, 2726, 135, 2561, 2542, 4, 3, 1, 122, 57, 39, 0, 14, 369, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 17, 2974, 23, 3, 8, 2723, 141, 2561, 2542, 7, 3, 1, 89, 63, 112, 0, 2, 370, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 12, 2982, 23, 3, 8, 2733, 141, 2561, 2542, 4, 3, 0, 91, 60, 112, 0, 4, 370, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 26, 3022, 46, 6, 8, 2741, 136, 2561, 2542, 5, 3, 1, 122, 60, 42, 0, 13, 373, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 25, 3022, 48, 6, 9, 2741, 141, 2561, 2542, 7, 3, 1, 125, 57, 44, 0, 9, 373, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 11, 2997, 47, 6, 18, 2735, 141, 2561, 2542, 5, 3, 0, 89, 33, 109, 0, 4, 372, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 9, 3012, 45, 6, 9, 2752, 136, 2561, 2542, 6, 3, 0, 82, 45, 104, 0, 8, 369, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 24, 3037, 48, 6, 18, 2744, 138, 2561, 2542, 4, 3, 1, 121, 59, 43, 0, 13, 375, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 8, 3003, 48, 6, 9, 2755, 137, 2561, 2542, 4, 3, 1, 90, 36, 109, 0, 2, 369, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 13, 3055, 75, 10, 18, 2753, 143, 2561, 2542, 5, 3, 0, 123, 31, 34, 0, 15, 372, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 15, 3058, 73, 10, 18, 2764, 138, 2561, 2542, 5, 3, 0, 122, 31, 39, 0, 14, 374, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 10, 3023, 46, 6, 18, 2766, 137, 2561, 2542, 4, 3, 1, 91, 37, 108, 0, 2, 371, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 31, 4337, 70, 10, 13, 3990, 204, 2561, 2542, 4, 3, 0, 131, 22, 36, 0, 15, 369, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 4, 4331, 70, 10, 13, 3996, 208, 2561, 2542, 5, 3, 0, 136, 13, 46, 0, 8, 372, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 18, 4367, 71, 10, 13, 4026, 212, 2561, 2542, 4, 3, 1, 133, 15, 47, 0, 9, 371, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
