
rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
0, 1855, 18, 3, 8, 1233, 132, 12067, 12071, 16, 14, 0, 391, 71, 60, 0, 370, 1, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 16, 1000,
6, 1860, 25, 6, 8, 1242, 131, 12068, 12071, 17, 14, 0, 382, 71, 0, 56, 372, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 16, 1000,
5, 2827, 16, 3, 12, 2428, 262, 12067, 12071, 16, 14, 0, 91, 427, 0, 0, 369, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 16, 1000,
5, 449, 15, 3, 0, 0, 0, 6452, 12076, 15, 14, 0, 430, 40, 0, 0, 373, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 5000,
0, 531, 15, 3, 0, 0, 0, 6452, 12076, 15, 14, 0, 428, 40, 83, 0, 373, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 5000,
7, 2409, 15, 3, 7, 1630, 263, 6452, 12076, 15, 14, 0, 417, 68, 0, 61, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 5000,
4, 2411, 14, 3, 8, 1631, 265, 6452, 12076, 15, 14, 0, 414, 69, 63, 0, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 5000,
2, 2071, 14, 3, 5, 1638, 265, 6452, 12076, 16, 14, 0, 111, 415, 13, 7, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 5000,
1, 2097, 14, 3, 7, 1654, 262, 6452, 12076, 15, 14, 0, 121, 403, 0, 22, 368, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 5000,
6, 3895, 15, 3, 12, 3229, 522, 6452, 12076, 15, 14, 0, 95, 447, 0, 0, 369, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 5000,
3, 3964, 15, 3, 13, 3274, 520, 6452, 12076, 15, 14, 0, 110, 424, 0, 7, 369, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 5000,
0, 876, 0, 0, 5, 653, 130, 12084, 6271, 15, 14, 0, 80, 415, 0, 0, 374, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 5000,
1, 1800, 27, 7, 5, 1223, 130, 12084, 6270, 15, 14, 0, 347, 57, 0, 50, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 5000,
3, 1801, 12, 3, 8, 1226, 131, 12084, 6270, 14, 14, 0, 366, 63, 0, 47, 372, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 5000,
7, 1807, 15, 3, 8, 1229, 131, 12084, 6271, 14, 14, 0, 362, 63, 0, 48, 372, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 5000,
6, 1807, 16, 3, 6, 1231, 132, 12084, 6270, 15, 14, 0, 362, 62, 0, 47, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 5000,
4, 1804, 21, 3, 8, 1229, 132, 12084, 6270, 15, 14, 0, 354, 66, 0, 46, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 5000,
5, 1814, 13, 3, 9, 1235, 133, 12084, 6270, 15, 14, 0, 366, 63, 0, 47, 372, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 5000,
2, 1812, 15, 3, 6, 1238, 132, 12084, 6270, 14, 14, 0, 363, 66, 0, 45, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 5000,
0, 481, 16, 3, 0, 0, 0, 12101, 12083, 15, 14, 0, 391, 38, 68, 0, 373, 1, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 5000,
4, 1204, 0, 0, 5, 840, 257, 12101, 12083, 16, 14, 0, 91, 424, 0, 0, 372, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 5000,
6, 2327, 14, 3, 7, 1604, 261, 12101, 12083, 16, 14, 0, 376, 70, 12, 35, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 5000,
2, 1988, 14, 3, 7, 1610, 261, 12102, 12083, 16, 14, 0, 75, 416, 0, 4, 369, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 5000,
3, 2018, 17, 3, 5, 1631, 261, 12101, 12083, 15, 14, 0, 79, 406, 0, 7, 367, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 5000,
