depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
6,2,0.001,4,6947,1.8962590746e-06,2.55644967746e-05,3.72765818493e-05,2.79233287362e-05,0,10,12502,55,1
6,2,0.1,4,5424,4.80603746034e-05,7.11900319338e-05,8.43147316232e-05,7.23247377366e-05,0,10,12396,33,1
6,2,0.0,3,5013,2.40489397133e-05,3.12357354502e-05,4.52587940557e-05,3.19493347809e-05,0,5,10915,25,1
6,2,1e-07,3,5263,2.40489281446e-05,3.12357383964e-05,4.52588041852e-05,3.19493386043e-05,0,5,10727,25,1
6,2,1e-05,3,4903,2.40880576212e-05,3.12283253504e-05,4.52280977522e-05,3.19390934283e-05,0,5,11387,25,1
6,2,0.001,3,4298,2.08304699621e-05,3.21441136013e-05,4.82258047059e-05,3.32273328468e-05,0,5,11950,25,1
6,2,0.1,3,3956,0.000400737221522,0.0004333213628803,0.0004586153818133,0.0004338559778752,0,5,11842,25,1
5,2,0.0,11,22616,5.06e-14,1.3353e-12,4.6177e-12,1.6525e-12,0,10,32265,433,1
5,2,1e-07,11,17347,2.1786e-12,8.5453e-12,1.67796e-11,9.2764e-12,0,10,37622,433,1
5,2,1e-05,11,16056,1.2072717e-09,2.156558e-09,3.3909119e-09,2.1972672e-09,0,10,32357,274,1
5,2,0.001,11,14551,7.34558256e-08,8.28800999e-08,8.75649799e-08,8.2911501e-08,0,10,31825,144,1
5,2,0.1,11,13787,1.273382067e-07,4.1020847809e-06,5.8572910886e-06,4.2886374756e-06,0,10,31739,53,1
5,0,0.0,8,12696,2.4709335e-09,1.14330693e-08,2.44170594e-08,1.23366089e-08,0,5,5623,148,1
5,0,1e-07,8,12205,2.4750967e-09,1.14384864e-08,2.44307768e-08,1.23420573e-08,0,5,5636,148,1
5,0,1e-05,8,11982,4.7356992e-09,1.37040344e-08,2.82496989e-08,1.45363679e-08,0,5,5770,148,1
5,0,0.001,8,11858,3.60876663e-07,5.113703624e-07,6.85061536e-07,5.143134486e-07,0,5,6415,124,1
5,0,0.1,8,10994,2.16487922e-08,3.8468132302e-06,1.9513567376e-05,5.1043598095e-06,0,5,6635,43,1
6,2,0.0,6,26156,9.4937538e-08,2.917518349e-07,4.714412249e-07,3.224667506e-07,0,5,12949,148,1
6,2,1e-07,6,20874,9.49215109e-08,2.917343076e-07,4.714253394e-07,3.224504335e-07,0,5,14061,148,1
6,2,1e-05,6,18571,8.53503621e-08,2.81308855e-07,4.623724714e-07,3.128312939e-07,0,5,14752,148,1
6,2,0.001,6,14800,1.16481543e-07,3.354648801e-07,5.07787807e-07,3.587607148e-07,0,5,14328,115,1
6,2,0.1,6,8435,1.871753756e-07,4.412735908e-06,1.24149483586e-05,6.5215274473e-06,0,5,14428,39,1
5,1,0.0,9,15529,7.137e-13,2.826503e-10,1.4480115e-09,3.69067e-10,0,10,11154,244,1
5,1,1e-07,9,14085,6.2789e-12,2.83889e-10,1.4558673e-09,3.711692e-10,0,10,11075,244,1
5,1,1e-05,9,13351,1.5347094e-09,3.6915281e-09,7.1713244e-09,3.8497663e-09,0,10,11919,244,1
5,1,0.001,9,12295,1.13135928e-08,2.79202744e-08,3.89294193e-08,2.83067156e-08,0,10,11728,130,1
5,1,0.1,9,11790,1.67653686e-08,2.24900299e-06,3.8839356514e-06,2.5223587563e-06,0,10,12036,50,1
5,0,0.0,6,11087,6.113203866e-07,1.2574626631e-06,1.9965180353e-06,1.2787168299e-06,0,5,4402,76,1
5,0,1e-07,6,10970,6.112137555e-07,1.2573606472e-06,1.9964590524e-06,1.2786176009e-06,0,5,4391,76,1
5,0,1e-05,6,11193,6.014120793e-07,1.2465040686e-06,1.9869995681e-06,1.2678991091e-06,0,5,4339,76,1
5,0,0.001,6,10856,1.5898268e-09,6.578294712e-07,1.5167497304e-06,7.062835126e-07,0,5,4858,76,1
5,0,0.1,6,10984,4.05788237357e-05,5.02560344531e-05,5.32540060337e-05,5.03120720926e-05,0,5,5308,39,1
6,1,0.0,7,27570,7.9371075e-09,1.21550298e-08,1.48348418e-08,1.23689837e-08,0,5,13833,148,1
6,1,1e-07,7,20170,7.9582903e-09,1.21722357e-08,1.48557331e-08,1.2385756e-08,0,5,14610,148,1
6,1,1e-05,7,18572,1.28771495e-08,1.63653692e-08,1.96877254e-08,1.65154671e-08,0,5,15025,148,1
6,1,0.001,7,16757,6.406403966e-07,6.852632471e-07,7.564271409e-07,6.859935082e-07,0,5,14555,116,1
6,1,0.1,7,10503,7.3143704507e-06,1.18462930018e-05,2.0242889905e-05,1.28501066301e-05,0,5,14535,39,1
5,0,0.0,10,15644,5.1419e-12,3.896187e-10,1.5718132e-09,5.113606e-10,0,20,9854,244,1
5,0,1e-07,10,14371,4.1896e-12,3.911118e-10,1.574418e-09,5.128351e-10,0,20,9917,244,1
5,0,1e-05,10,14392,1.6412617e-09,3.5606762e-09,6.4591276e-09,3.6869706e-09,0,20,10969,244,1
5,0,0.001,10,12966,6.0616991e-09,2.10515916e-08,3.2891934e-08,2.15183405e-08,0,20,10563,130,1
5,0,0.1,10,12009,6.73022213e-08,1.4401615354e-06,4.0273161462e-06,1.6544853544e-06,0,20,10212,50,1
5,2,0.0,10,19506,1.42616e-11,2.4118e-11,3.66017e-11,2.45826e-11,0,10,23112,364,1
5,2,1e-07,10,15829,1.71858e-11,3.13735e-11,4.81143e-11,3.20408e-11,0,10,24850,364,1
5,2,1e-05,10,14375,1.5007997e-09,2.9694957e-09,5.0309563e-09,3.0480169e-09,0,10,23522,268,1
5,2,0.001,10,13269,2.36229438e-08,3.81628381e-08,5.13963418e-08,3.89589858e-08,0,10,22692,136,1
5,2,0.1,10,12294,3.7028418e-09,1.4473326965e-06,4.3104036811e-06,1.6699558641e-06,0,10,23086,50,1
6,2,0.0,3,4876,1.86831302983e-05,2.90339711083e-05,3.92058611744e-05,2.9812046323e-05,0,10,11070,25,1
6,2,1e-07,3,5068,1.86831408462e-05,2.90339741264e-05,3.92058717159e-05,2.98120483167e-05,0,10,10545,25,1
6,2,1e-05,3,4913,1.86521792298e-05,2.90266684591e-05,3.91763832521e-05,2.98078078063e-05,0,10,11266,25,1
6,2,0.001,3,4218,2.13190723563e-05,2.98670423797e-05,4.18632720684e-05,3.05136667435e-05,0,10,11722,25,1
6,2,0.1,3,3988,0.0003924070214049,0.0004251822870656,0.0004505283169641,0.0004257371397185,0,10,11555,25,1
5,0,0.0,11,18136,4.82e-14,4.53668e-11,1.655157e-10,6.04115e-11,0,20,13724,301,1
5,0,1e-07,11,15335,5.716e-13,4.50495e-11,1.67743e-10,5.99397e-11,0,20,15425,301,1
5,0,1e-05,11,14821,1.464983e-09,2.8668425e-09,4.8245706e-09,2.9410464e-09,0,20,14619,268,1
5,0,0.001,11,13487,2.27383556e-08,3.70637222e-08,5.04270748e-08,3.79003342e-08,0,20,14001,136,1
5,0,0.1,11,12655,9.07627798e-08,1.4537127701e-06,4.0926692918e-06,1.6717370559e-06,0,20,13815,50,1
5,2,0.0,9,17033,3.5023e-12,9.73611e-11,2.983e-10,1.188028e-10,0,5,14485,301,1
5,2,1e-07,9,14357,1.8372e-12,9.97332e-11,3.007563e-10,1.210983e-10,0,5,14489,301,1
5,2,1e-05,9,14431,1.8432731e-09,3.1763532e-09,4.8342465e-09,3.2308304e-09,0,5,15619,259,1
5,2,0.001,9,12508,3.2632935e-09,1.73890007e-08,2.95675086e-08,1.79341136e-08,0,5,14690,130,1
5,2,0.1,9,11883,1.28628492e-08,2.1120637024e-06,3.7898842358e-06,2.3945757466e-06,0,5,15039,50,1
5,1,0.0,11,20308,2.994e-12,1.10221e-11,2.48762e-11,1.18165e-11,0,20,25906,364,1
5,1,1e-07,11,16757,9.6359e-12,1.91583e-11,3.76087e-11,1.997e-11,0,20,28145,364,1
5,1,1e-05,11,15524,1.4882122e-09,2.7315502e-09,4.4071641e-09,2.7893198e-09,0,20,26583,271,1
5,1,0.001,11,14509,7.40278705e-08,8.32036802e-08,8.79615611e-08,8.32355193e-08,0,20,26289,136,1
5,1,0.1,11,13535,1.62498921e-08,2.9776307301e-06,4.7866863069e-06,3.2188859735e-06,0,20,25584,53,1
5,0,0.0,7,12185,1.46757e-10,1.652517533e-07,3.843541995e-07,1.904704089e-07,0,5,4838,109,1
5,0,1e-07,7,11429,1.344099e-10,1.652405262e-07,3.843429772e-07,1.904586448e-07,0,5,4912,109,1
5,0,1e-05,7,11615,2.7368701e-09,1.628886745e-07,3.805690691e-07,1.878356193e-07,0,5,4791,109,1
5,0,0.001,7,11089,1.662684631e-07,3.834812992e-07,6.21008861e-07,3.950268395e-07,0,5,5678,108,1
5,0,0.1,7,10798,2.840454e-09,4.6959324963e-06,1.72493043057e-05,5.4457622599e-06,0,5,5763,39,1
5,2,0.0,4,10691,7.92114937e-08,1.24495542539e-05,4.56599910363e-05,1.56793826932e-05,0,10,4261,55,1
5,2,1e-07,4,10334,7.92592666e-08,1.24495612529e-05,4.56599816166e-05,1.5679390365e-05,0,10,4177,55,1
5,2,1e-05,4,10289,8.78818861e-08,1.24509869394e-05,4.56629988215e-05,1.56808625244e-05,0,10,4160,55,1
5,2,0.001,4,10207,1.983820882e-07,1.24850246677e-05,4.55071841876e-05,1.57118049416e-05,0,10,4269,55,1
5,2,0.1,4,10245,2.7923921785e-06,5.99346765422e-05,8.57471939725e-05,6.18846183823e-05,0,10,5148,33,1
5,2,0.0,4,10391,1.535549646e-07,1.2348404429e-05,4.68922861339e-05,1.56130735726e-05,0,20,4266,55,1
5,2,1e-07,4,10335,1.535835695e-07,1.23484122145e-05,4.68922738709e-05,1.56130804135e-05,0,20,4218,55,1
5,2,1e-05,4,10775,1.535374799e-07,1.23486577379e-05,4.68911549893e-05,1.56132948232e-05,0,20,4172,55,1
5,2,0.001,4,10116,1.785486095e-07,1.23886600593e-05,4.67133537734e-05,1.5646340824e-05,0,20,4402,55,1
5,2,0.1,4,10095,1.9604246983e-06,5.91497246268e-05,8.49557368657e-05,6.11191827592e-05,0,20,5126,33,1
5,0,0.0,7,12223,4.07813313e-08,1.348187207e-07,3.059085527e-07,1.463643182e-07,0,20,4936,109,1
5,0,1e-07,7,11429,4.0763225e-08,1.348057823e-07,3.058897681e-07,1.463517776e-07,0,20,4936,109,1
5,0,1e-05,7,11391,3.66876107e-08,1.309479987e-07,3.000600854e-07,1.426023888e-07,0,20,4939,109,1
5,0,0.001,7,11354,2.260192116e-07,3.767180072e-07,5.633371458e-07,3.820775491e-07,0,20,5514,109,1
